vacancy_titile;salary_from;salary_to;salary_currency;vacancy_link;site_from
Senior Data Engineer/Senior ETL-Developer;;;;https://hh.ru/vacancy/67818898?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Embedded Firmware Engineer;;;;https://hh.ru/vacancy/67406528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/45111090?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Team Lead (C++ Windows) for the Endpoint Data Security R&D Group;;;;https://hh.ru/vacancy/67325856?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
API test engineer;;3500.00;USD;https://hh.ru/vacancy/67576820?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Project Manager, Data Streaming Solutions;;;;https://hh.ru/vacancy/67831321?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Project Manager, Data Streaming Solutions;;;;https://hh.ru/vacancy/67831320?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
DevOps engineer (senior);;;;https://hh.ru/vacancy/67573328?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Data engineer\analyst (развитие источников данных Big Data);;;;https://hh.ru/vacancy/67802079?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Architect;;;;https://hh.ru/vacancy/67709388?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Architect;;;;https://hh.ru/vacancy/67709389?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Lead Security Engineer;;;;https://hh.ru/vacancy/55580485?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Python-разработчик / Data engineer;;;;https://hh.ru/vacancy/67785812?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Big Data Engineer (в UK);6000.00;;EUR;https://hh.ru/vacancy/51194813?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data scientist;150000.00;200000.00;руб;https://hh.ru/vacancy/66737331?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Team Lead (Data Engineering) / Руководитель по разработке;;;;https://hh.ru/vacancy/67702215?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / ETL-engineer (Middle);;;;https://hh.ru/vacancy/67762108?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer / ETL-engineer (middle);;;;https://hh.ru/vacancy/67762016?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Team lead Data Analyst;;;;https://hh.ru/vacancy/66504470?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
BI Engineer (Tableau);250000.00;;руб;https://hh.ru/vacancy/47882723?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer в рекомендательные системы;;;;https://hh.ru/vacancy/67779546?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data-инженер;;;;https://hh.ru/vacancy/50062396?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (Spark);;;;https://hh.ru/vacancy/67730650?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (DWH);;;;https://hh.ru/vacancy/67729081?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data engineer (Python Hadoop Spark);;;;https://hh.ru/vacancy/67777345?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Middle Data engineer;;;;https://hh.ru/vacancy/67722638?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Senior Data Scientist/ ML Engineer;;350000.00;руб;https://hh.ru/vacancy/66921653?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer;;;;https://hh.ru/vacancy/55356975?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Technical support engineer (2-3 line);;;;https://hh.ru/vacancy/67735453?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
Data Engineer (уровень не ниже среднего);140000.00;180000.00;руб;https://hh.ru/vacancy/67663330?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
MLOps инженер;;;;https://hh.ru/vacancy/67748528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=Data%20engineer;hh.ru
